Wavelength nm.	promissao_Amostra_09a_vs_Buffer	promissao_Amostra_09b_vs_Buffer	promissao_Amostra_14a_vs_Buffer	promissao_Amostra_14b_vs_Buffer	promissao_Amostra_16a_vs_Buffer	promissao_Amostra_16b_vs_Buffer	promissao_Amostra_17a_vs_Buffer	promissao_Amostra_17b_vs_Buffer	promissao_Amostra_18a_vs_Buffer	promissao_Amostra_18b_vs_Buffer	promissao_Amostra_19a_vs_Buffer	promissao_Amostra_19b_vs_Buffer	promissao_Amostra_21a_vs_Buffer	promissao_Amostra_21b_vs_Buffer	promissao_Ar_vs_Ar_1	promissao_Ar_vs_Ar_2	promissao_Ar_vs_Ar_3	promissao_Ar_vs_Ar_4	promissao_Ar_vs_Buffer_1	promissao_Ar_vs_Buffer_2	promissao_Ar_vs_Buffer_2_2	promissao_Ar_vs_Buffer_3	promissao_Ar_vs_Buffer_3_filtro	promissao_Ar_vs_Buffer_4	promissao_Ar_vs_Buffer_4_filtro	promissao_Ar_vs_Buffer_5	promissao_Ar_vs_Buffer_6	promissao_Ar_vs_Buffer_7	promissao_Ar_vs_Buffer_8
548,00	0,044075	0,044274	0,046323	0,047906	0,066339	0,071042	0,050647	0,056333	0,062559	0,065072	0,054723	0,052915	0,055792	0,048586	-0,000120	0,000020	0,000021	0,000000	0,034350	0,034022	0,034492	0,034602	0,035711	0,035046	0,034094	0,034666	0,034673	0,034823	0,034027
549,00	0,043961	0,044155	0,046224	0,047815	0,066494	0,071129	0,050647	0,056313	0,062518	0,065052	0,054620	0,052854	0,055693	0,048511	-0,000144	0,000030	0,000037	0,000017	0,034278	0,033965	0,034427	0,034536	0,035638	0,035015	0,034044	0,034614	0,034630	0,034751	0,033990
550,00	0,043870	0,044058	0,046148	0,047735	0,066618	0,071198	0,050632	0,056259	0,062496	0,065038	0,054517	0,052777	0,055579	0,048414	-0,000156	0,000027	0,000037	0,000022	0,034231	0,033914	0,034378	0,034476	0,035575	0,034931	0,034001	0,034563	0,034562	0,034695	0,033956
551,00	0,043797	0,043967	0,046091	0,047669	0,066763	0,071280	0,050634	0,056224	0,062472	0,065032	0,054453	0,052721	0,055467	0,048350	-0,000154	0,000016	0,000033	0,000034	0,034210	0,033861	0,034344	0,034424	0,035531	0,034859	0,033980	0,034529	0,034515	0,034642	0,033927
552,00	0,043762	0,043919	0,046036	0,047619	0,066952	0,071442	0,050680	0,056219	0,062471	0,065040	0,054406	0,052677	0,055388	0,048330	-0,000126	-0,000002	0,000049	0,000054	0,034229	0,033845	0,034341	0,034421	0,035531	0,034801	0,033965	0,034521	0,034476	0,034637	0,033918
553,00	0,043737	0,043881	0,045988	0,047591	0,067164	0,071627	0,050756	0,056253	0,062450	0,065071	0,054358	0,052633	0,055330	0,048314	-0,000113	-0,000011	0,000052	0,000053	0,034235	0,033828	0,034343	0,034420	0,035537	0,034808	0,033983	0,034508	0,034463	0,034627	0,033899
554,00	0,043722	0,043861	0,045950	0,047581	0,067391	0,071837	0,050846	0,056298	0,062493	0,065103	0,054330	0,052615	0,055284	0,048289	-0,000104	0,000006	0,000063	0,000039	0,034240	0,033845	0,034356	0,034447	0,035554	0,034813	0,033979	0,034512	0,034448	0,034634	0,033896
555,00	0,043690	0,043852	0,045957	0,047584	0,067644	0,072038	0,050946	0,056372	0,062561	0,065156	0,054322	0,052621	0,055248	0,048273	-0,000094	0,000032	0,000060	0,000017	0,034256	0,033895	0,034381	0,034468	0,035556	0,034849	0,034003	0,034526	0,034457	0,034647	0,033911
556,00	0,043690	0,043835	0,045979	0,047606	0,067934	0,072272	0,051060	0,056470	0,062668	0,065231	0,054345	0,052644	0,055229	0,048270	-0,000072	0,000045	0,000066	0,000011	0,034315	0,033960	0,034425	0,034499	0,035597	0,034881	0,034031	0,034569	0,034484	0,034676	0,033936
557,00	0,043691	0,043842	0,046018	0,047649	0,068227	0,072509	0,051172	0,056565	0,062752	0,065317	0,054340	0,052664	0,055216	0,048268	-0,000040	0,000041	0,000054	-0,000006	0,034372	0,034034	0,034480	0,034519	0,035658	0,034913	0,034104	0,034598	0,034525	0,034720	0,033969
558,00	0,043709	0,043846	0,046048	0,047693	0,068522	0,072770	0,051286	0,056663	0,062818	0,065396	0,054347	0,052667	0,055210	0,048274	-0,000039	0,000038	0,000026	-0,000021	0,034431	0,034083	0,034525	0,034541	0,035718	0,034948	0,034144	0,034620	0,034571	0,034752	0,033998
559,00	0,043702	0,043872	0,046059	0,047723	0,068817	0,073028	0,051405	0,056744	0,062898	0,065463	0,054348	0,052672	0,055191	0,048276	-0,000031	0,000036	0,000014	-0,000037	0,034467	0,034139	0,034581	0,034559	0,035760	0,034970	0,034189	0,034638	0,034604	0,034794	0,034027
560,00	0,043704	0,043874	0,046054	0,047718	0,069133	0,073293	0,051535	0,056845	0,062989	0,065539	0,054380	0,052681	0,055180	0,048295	-0,000049	0,000047	0,000013	-0,000039	0,034494	0,034166	0,034596	0,034595	0,035749	0,035009	0,034206	0,034676	0,034640	0,034840	0,034040
561,00	0,043710	0,043892	0,046068	0,047735	0,069449	0,073550	0,051639	0,056933	0,063113	0,065647	0,054422	0,052720	0,055159	0,048279	-0,000024	0,000049	0,000030	-0,000039	0,034532	0,034196	0,034622	0,034608	0,035781	0,035022	0,034264	0,034722	0,034683	0,034883	0,034059
562,00	0,043696	0,043891	0,046067	0,047729	0,069768	0,073816	0,051734	0,057032	0,063218	0,065753	0,054437	0,052735	0,055132	0,048269	-0,000017	0,000036	0,000017	-0,000034	0,034571	0,034204	0,034630	0,034639	0,035791	0,035025	0,034286	0,034736	0,034708	0,034894	0,034077
563,00	0,043673	0,043868	0,046041	0,047715	0,070098	0,074078	0,051841	0,057129	0,063315	0,065854	0,054424	0,052732	0,055091	0,048261	-0,000009	0,000035	-0,000013	-0,000026	0,034577	0,034195	0,034621	0,034641	0,035799	0,035020	0,034282	0,034738	0,034707	0,034886	0,034097
564,00	0,043630	0,043816	0,045985	0,047647	0,070434	0,074346	0,051935	0,057222	0,063368	0,065911	0,054400	0,052705	0,055063	0,048273	-0,000012	0,000035	-0,000039	0,000002	0,034557	0,034170	0,034600	0,034650	0,035759	0,035020	0,034253	0,034722	0,034680	0,034898	0,034106
565,00	0,043574	0,043760	0,045926	0,047598	0,070756	0,074596	0,052013	0,057293	0,063420	0,065970	0,054379	0,052689	0,055021	0,048261	-0,000009	0,000034	-0,000055	0,000013	0,034520	0,034136	0,034556	0,034622	0,035724	0,034995	0,034236	0,034692	0,034643	0,034877	0,034081
566,00	0,043524	0,043715	0,045904	0,047561	0,071063	0,074857	0,052058	0,057348	0,063500	0,066020	0,054352	0,052669	0,054977	0,048217	0,000010	0,000026	-0,000048	0,000045	0,034499	0,034119	0,034551	0,034581	0,035710	0,034953	0,034239	0,034654	0,034620	0,034852	0,034058
567,00	0,043467	0,043662	0,045860	0,047510	0,071369	0,075107	0,052122	0,057413	0,063581	0,066080	0,054298	0,052638	0,054881	0,048135	0,000006	0,000027	-0,000049	0,000037	0,034457	0,034074	0,034504	0,034532	0,035666	0,034907	0,034190	0,034596	0,034583	0,034773	0,034005
568,00	0,043396	0,043595	0,045798	0,047423	0,071696	0,075377	0,052194	0,057485	0,063640	0,066124	0,054250	0,052612	0,054791	0,048061	-0,000004	0,000052	-0,000050	0,000042	0,034395	0,034013	0,034435	0,034492	0,035608	0,034890	0,034113	0,034551	0,034554	0,034717	0,033989
569,00	0,043301	0,043499	0,045698	0,047320	0,072010	0,075638	0,052262	0,057548	0,063690	0,066185	0,054198	0,052583	0,054702	0,047996	-0,000047	0,000063	-0,000052	0,000035	0,034326	0,033938	0,034341	0,034458	0,035519	0,034862	0,034015	0,034501	0,034511	0,034656	0,033936
